"Y","W","S","C"
1.012,2,3,1
0,3,0,1
3.625,3,1,1
1.236,3,2,0
2.581,3,2,1
0,3,3,0
4.065,3,3,1
0,4,0,1
0,4,1,1
2.427,4,2,0
4.509,4,2,1
0.976,4,3,0
3.25,4,3,1
1.667,5,0,1
0,5,1,1
1.107,5,2,0
2.947,5,2,1
2.918,5,3,0
2.357,5,3,1
0,1,0,0
4.112,1,0,1
0,1,1,0
0.726,1,1,1
0.46,1,2,0
2.344,1,2,1
0,1,3,0
1.667,2,0,0
2.392,2,0,1
3.712,2,1,0
2.587,2,1,1
0,2,2,0
2.812,2,2,1
0,2,3,0
0,2,3,1
0,3,0,0
0,3,0,1
0.505,3,1,1
1.564,3,2,0
2.892,3,2,1
0,3,3,0
1.683,3,3,1
6.667,4,0,0
0.87,4,0,1
1.667,4,1,1
0.964,4,2,0
2.574,4,2,1
0,4,3,0
3.489,4,3,1
0,5,0,1
0,5,1,1
2.499,5,2,0
3.766,5,2,1
0,5,3,0
2.824,5,3,1
1.225,1,0,1
0,1,1,1
0.738,1,2,0
2.137,1,2,1
0,2,0,0
2.222,2,0,1
1.667,2,1,0
0,2,1,1
0.583,2,2,0
5.835,2,2,1
0,2,3,0
0,2,3,1
0,3,0,0
0,3,0,1
0,3,1,1
0.629,3,2,0
1.755,3,2,1
0.345,3,3,0
3.213,3,3,1
0,4,0,0
0.543,4,0,1
0,4,1,1
1.341,4,2,0
3.438,4,2,1
0.858,4,3,0
2.54,4,3,1
0,5,0,1
0,5,1,1
0.429,5,2,0
2.249,5,2,1
0.521,5,3,0
2.149,5,3,1
2.727,1,0,0
0.356,1,0,1
2.069,1,1,0
5.844,1,1,1
1.035,1,2,0
5.968,1,2,1
0,1,3,0
0,2,0,0
0,2,0,1
1.953,2,1,0
1.843,2,1,1
1.064,2,2,0
2.611,2,2,1
0.515,2,3,0
1.111,2,3,1
0,3,0,0
1.034,3,0,1
1.667,3,1,0
2.825,3,1,1
1.802,3,2,0
3.154,3,2,1
1.058,3,3,0
3.646,3,3,1
0,4,0,1
1.667,4,1,0
3.75,4,1,1
1.762,4,2,0
1.915,4,2,1
1.026,4,3,0
1.769,4,3,1
0,5,0,1
1.875,5,1,0
0,5,1,1
2.421,5,2,0
3.178,5,2,1
0,5,3,0
3.187,5,3,1
1.287,1,0,0
4.487,1,0,1
0,1,1,0
2.837,1,1,1
1.576,1,2,0
3.471,1,2,1
0,1,3,0
0.536,2,0,0
1.82,2,0,1
10.556,2,1,0
3.471,2,1,1
2.059,2,2,0
3.761,2,2,1
0,2,3,0
6.55,2,3,1
3.958,3,0,0
0.492,3,0,1
0.861,3,1,0
1.745,3,1,1
1.825,3,2,0
2.729,3,2,1
1.239,3,3,0
0.932,3,3,1
2.836,4,0,0
2.492,4,0,1
1.196,4,1,0
0.699,4,1,1
2.305,4,2,0
2.796,4,2,1
1.228,4,3,0
3.232,4,3,1
1.774,5,0,1
0,5,1,1
1.942,5,2,0
1.8,5,2,1
0.483,5,3,0
5.115,5,3,1
0,1,0,0
0,1,0,1
7.5,1,1,0
1.975,1,1,1
5.582,1,2,0
2.821,1,2,1
0,1,3,0
3.088,2,0,0
0.622,2,0,1
1.667,2,1,0
1.957,2,1,1
1.773,2,2,0
2.545,2,2,1
0,2,3,0
1.399,2,3,1
0,3,0,0
1.292,3,0,1
1.149,3,1,0
3.495,3,1,1
1.423,3,2,0
2.481,3,2,1
0,3,3,0
4.186,3,3,1
5.752,4,0,0
0,4,0,1
0,4,1,0
1.566,4,1,1
3.511,4,2,0
2.955,4,2,1
0.914,4,3,0
1.299,4,3,1
0,5,0,0
1.818,5,0,1
0,5,1,1
2.631,5,2,0
3.681,5,2,1
0.773,5,3,0
2.596,5,3,1
4.442,1,0,0
4.761,1,0,1
3.745,1,1,0
3.056,1,1,1
2.878,1,2,0
1.614,1,2,1
0,1,3,0
1.859,2,0,0
2.222,2,0,1
0.905,2,1,0
4.852,2,1,1
2.165,2,2,0
4.422,2,2,1
1.129,2,3,0
3.381,2,3,1
0.673,3,0,0
2.131,3,0,1
0.408,3,1,0
6.612,3,1,1
2.623,3,2,0
3.824,3,2,1
4.319,3,3,0
0,3,3,1
2.613,4,0,0
2,4,0,1
1.854,4,1,0
2.857,4,1,1
2.9,4,2,0
4.417,4,2,1
0.624,4,3,0
1.366,4,3,1
0.896,5,0,0
0,5,0,1
0,5,1,0
0,5,1,1
4.223,5,2,0
3.386,5,2,1
0,5,3,0
6,5,3,1
2.348,1,0,0
0,1,0,1
2.297,1,1,0
0.942,1,1,1
2.186,1,2,0
3.066,1,2,1
0.376,2,0,0
1.135,2,0,1
3.001,2,1,0
0,2,1,1
1.67,2,2,0
3.2,2,2,1
0,3,0,0
0,3,0,1
2.637,3,1,0
0,3,1,1
1.804,3,2,0
2.198,3,2,1
0.9,3,3,0
2.727,3,3,1
0,4,0,0
0,4,0,1
4.742,4,1,0
1.027,4,1,1
2.029,4,2,0
2.616,4,2,1
5.732,4,3,0
0.846,5,0,0
0,5,0,1
0,5,1,0
1.306,5,2,0
2.264,5,2,1
0.524,5,3,0
3.081,5,3,1
2.857,1,0,0
0,1,0,1
0.665,1,1,0
0,1,1,1
1.345,1,2,0
2.175,1,2,1
1.24,2,0,0
0,2,0,1
1.27,2,1,0
1.218,2,1,1
1.139,2,2,0
4.954,2,2,1
0.187,2,3,0
0,3,0,0
2.075,3,0,1
2.699,3,1,0
4.712,3,1,1
2.22,3,2,0
2.843,3,2,1
1.242,3,3,0
0,3,3,1
0,4,0,0
0,4,0,1
1.818,4,1,0
2.222,4,1,1
2.251,4,2,0
2.905,4,2,1
2.113,4,3,0
1.474,4,3,1
0,5,0,0
0,5,0,1
0,5,1,0
0,5,1,1
2.795,5,2,0
3.091,5,2,1
0.988,5,3,0
2.308,5,3,1
1.149,1,0,0
2.026,1,0,1
2.781,1,1,0
3.673,1,1,1
2.273,1,2,0
1.611,1,2,1
5.451,1,3,0
2.077,2,0,0
1.188,2,0,1
4.198,2,1,0
1.099,2,1,1
2.963,2,2,0
3.676,2,2,1
0,2,3,0
1.534,2,3,1
1.667,3,0,0
0.356,3,0,1
3.071,3,1,0
0,3,1,1
1.568,3,2,0
3.247,3,2,1
0.737,3,3,0
3.63,3,3,1
1.667,4,0,1
0,4,1,0
0.929,4,1,1
1.447,4,2,0
4.085,4,2,1
1.389,4,3,0
1.644,4,3,1
0,5,0,1
0,5,1,0
0,5,1,1
3.041,5,2,0
3.363,5,2,1
0.755,5,3,0
2.322,5,3,1
0,1,0,0
0,1,0,1
0.564,1,1,1
12.222,1,2,0
0.482,1,2,1
0,1,3,0
0.971,1,3,1
0,2,0,0
0,2,0,1
5.512,2,1,0
0,2,1,1
1.072,2,2,0
3.245,2,2,1
0.793,2,3,0
3.926,2,3,1
4.536,3,0,1
1.154,3,2,0
1.82,3,2,1
0.298,3,3,0
1.422,3,3,1
1.686,4,2,0
0.769,4,2,1
0,4,3,0
0.614,4,3,1
0,5,2,0
1.781,5,2,1
0.062,5,3,0
1.15,5,3,1
0.531,1,0,1
2.909,1,1,1
0.593,1,2,0
2.824,1,2,1
0,1,3,0
1.094,2,0,1
1.145,2,1,0
0,2,1,1
1.383,2,2,0
1.764,2,2,1
0.168,2,3,0
1.516,2,3,1
0,3,1,0
0,3,1,1
0.759,3,2,0
3.017,3,2,1
0.146,3,3,0
5.596,3,3,1
0,4,1,1
0.301,4,2,0
2.642,4,2,1
0.103,4,3,0
0.272,4,3,1
1.651,5,2,0
0.468,5,2,1
3.408,5,3,0
1.341,5,3,1
0.519,1,0,0
0.995,1,0,1
5,1,1,0
0,1,1,1
0,1,2,0
3.921,1,2,1
2.561,2,0,0
2,2,0,1
0,2,1,0
2.994,2,1,1
1.915,2,2,0
4.768,2,2,1
0,3,0,0
1.145,3,0,1
1.271,3,1,0
0,3,1,1
0.4,3,2,0
5.259,3,2,1
7.5,3,3,0
1.875,3,3,1
0,4,0,0
2.339,4,0,1
0,4,1,1
1.934,4,2,0
3.611,4,2,1
0.868,4,3,0
2.508,4,3,1
0,5,0,1
0,5,1,0
