"Y","W","S","A"
NA,4,1,2
0,4,2,1
29.07,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
NA,5,1,2
0,5,2,1
48.22,5,2,2
0,5,3,1
0,5,3,2
0,1,0,2
0,1,1,1
116.32,1,1,2
184.61,1,2,1
0,1,2,2
NA,2,0,1
NA,2,0,2
NA,2,1,1
0,2,1,2
0,2,2,1
63.54,2,2,2
0,2,3,1
0,3,0,2
146.58,3,1,2
0,3,2,1
39.62,3,2,2
0,3,3,1
NA,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
NA,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
77.54,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
154.84,1,1,2
0,1,2,1
0,1,2,2
0,2,0,1
0,2,0,2
0,2,1,1
233.87,2,1,2
0,2,2,1
42.77,2,2,2
NA,3,0,1
246.15,3,0,2
0,3,1,1
0,3,1,2
0,3,2,1
21.14,3,2,2
NA,4,0,1
0,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
333.33,5,0,2
NA,5,1,2
NA,5,2,1
0,5,2,2
0,5,3,1
0,1,0,2
0,1,1,2
0,1,2,1
66.1,1,2,2
0,2,0,2
0,2,1,2
0,2,2,1
28.13,2,2,2
0,3,0,1
0,3,0,2
0,3,1,2
125.66,3,2,1
14.14,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
42,4,2,2
0,4,3,1
0,5,0,2
NA,5,1,2
0,5,2,1
20.36,5,2,2
0,5,3,1
109.81,5,3,2
0,1,0,1
75.25,1,0,2
0,1,1,1
0,1,1,2
32.57,1,2,1
0,1,2,2
NA,2,0,1
0,2,0,2
99.09,2,1,1
0,2,1,2
0,2,2,1
22.68,2,2,2
NA,3,0,1
0,3,0,2
0,3,1,1
0,3,1,2
44.47,3,2,1
0,3,2,2
0,3,3,1
0,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
0,5,0,2
NA,5,1,2
0,5,2,1
0,5,2,2
0,1,0,1
160.97,1,0,2
0,1,1,1
0,1,1,2
57.52,1,2,1
0,1,2,2
NA,2,0,1
0,2,0,2
0,2,1,1
0,2,1,2
77.56,2,2,1
0,2,2,2
0,3,0,2
NA,3,1,1
0,3,1,2
0,3,2,1
20.77,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
0,5,0,2
0,5,1,2
27.84,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
267.69,1,1,2
0,1,2,1
70.85,1,2,2
0,2,0,1
0,2,0,2
0,2,1,1
0,2,1,2
0,2,2,1
0,2,2,2
0,3,0,1
0,3,0,2
0,3,1,1
0,3,1,2
0,3,2,1
19.16,3,2,2
0,3,3,1
NA,4,0,2
0,4,1,1
0,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
0,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
49.15,1,2,1
0,1,2,2
0,2,0,1
0,2,0,2
0,2,1,1
105.47,2,1,2
82.69,2,2,1
0,2,2,2
0,3,0,2
NA,3,1,1
404.46,3,1,2
90.48,3,2,1
72.06,3,2,2
0,3,3,1
0,4,0,2
0,4,1,2
0,4,2,1
36.92,4,2,2
0,4,3,1
0,4,3,2
NA,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
0,1,1,1
0,1,2,1
NA,2,0,1
156.49,2,1,1
0,2,2,1
0,3,0,1
0,3,2,1
186.07,3,3,1
0,4,2,1
0,4,3,1
0,5,2,1
0,5,3,1
0,1,0,1
0,1,1,1
0,1,2,1
0,2,0,1
0,2,1,1
0,2,2,1
0,3,1,1
46.19,3,2,1
0,3,3,1
0,4,1,1
0,4,2,1
0,4,3,1
0,5,2,1
31.01,5,3,1
0,1,0,1
0,1,0,2
1000,1,1,1
0,1,2,1
0,2,0,1
0,2,0,2
0,2,1,1
0,2,1,2
0,2,2,1
55.54,2,2,2
NA,3,0,1
0,3,0,2
NA,3,1,1
0,3,1,2
0,3,2,1
0,3,2,2
0,3,3,1
NA,4,0,1
0,4,0,2
NA,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
100.88,4,3,2
0,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
0,1,1,1
0,1,2,1
0,1,2,2
NA,2,0,1
0,2,1,1
NA,2,1,2
0,2,2,1
0,2,2,2
0,3,0,2
0,3,1,2
0,3,2,1
0,3,2,2
0,3,3,1
NA,4,0,1
0,4,0,2
NA,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
0,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,2
0,1,1,1
NA,1,1,2
0,1,2,1
0,1,2,2
NA,2,0,1
NA,2,0,2
0,2,1,2
177.5,2,2,1
0,2,2,2
NA,3,0,2
NA,3,1,1
0,3,1,2
0,3,2,1
0,3,2,2
0,3,3,1
0,4,0,2
0,4,1,2
0,4,2,1
34.94,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
NA,5,1,2
0,5,2,1
0,5,2,2
104.9,5,3,1
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
0,1,2,1
158.47,1,2,2
NA,2,0,1
0,2,0,2
0,2,1,2
0,2,2,1
39.77,2,2,2
NA,3,0,1
0,3,0,2
0,3,1,1
0,3,1,2
0,3,2,1
0,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
NA,5,0,2
NA,5,1,2
0,5,2,1
0,5,2,2
0,5,3,2
0,1,0,1
NA,1,0,2
0,1,1,1
0,1,1,2
0,1,2,1
0,1,2,2
0,2,0,1
0,2,0,2
0,2,1,1
0,2,1,2
0,2,2,1
0,2,2,2
NA,3,0,1
0,3,0,2
0,3,1,1
NA,3,1,2
0,3,2,1
0,3,2,2
0,4,0,2
NA,4,1,1
0,4,1,2
0,4,2,1
17.99,4,2,2
0,4,3,2
NA,5,0,2
NA,5,1,2
0,5,2,1
20.18,5,2,2
0,5,3,1
88.44,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
0,1,2,1
0,1,2,2
NA,2,0,1
NA,2,0,2
NA,2,1,1
0,2,1,2
0,2,2,1
0,2,2,2
0,2,3,1
0,3,0,2
134.97,3,1,2
0,3,2,1
0,3,2,2
NA,4,0,2
0,4,1,2
0,4,2,1
29.98,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
0,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
29.25,1,2,1
203.21,1,2,2
0,2,0,1
0,2,0,2
0,2,1,1
375.89,2,1,2
0,2,2,1
0,2,2,2
0,3,0,1
0,3,0,2
0,3,1,1
0,3,1,2
0,3,2,1
37.4,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
0,4,3,2
NA,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
0,1,2,1
0,1,2,2
0,2,0,2
0,2,1,2
0,2,2,1
73.43,2,2,2
0,3,0,2
0,3,1,2
0,3,2,1
0,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
21.93,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
NA,1,0,2
0,1,1,1
NA,1,1,2
0,1,2,1
0,1,2,2
0,2,0,2
0,2,1,2
0,2,2,1
38.01,2,2,2
NA,3,0,2
0,3,1,2
NA,3,2,1
42.66,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
NA,5,1,2
0,5,2,2
0,5,3,1
0,5,3,2
NA,1,0,2
NA,1,1,2
NA,1,2,2
0,2,0,2
0,2,1,2
66.61,2,2,2
0,3,0,2
0,3,1,2
NA,3,2,1
0,3,2,2
NA,4,0,2
NA,4,1,2
0,4,2,1
0,4,2,2
0,4,3,2
NA,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
0,1,1,1
0,1,1,2
36.41,1,2,1
0,1,2,2
0,2,0,1
0,2,0,2
0,2,1,1
0,2,2,1
0,2,2,2
0,3,0,2
