"Y","W","S","A"
NA,3,0,1
0,3,0,2
0,3,1,1
0,3,1,2
0,3,2,1
0,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
NA,5,0,2
NA,5,1,2
0,5,2,1
0,5,2,2
0,5,3,2
0,1,0,1
NA,1,0,2
0,1,1,1
0,1,1,2
0,1,2,1
0,1,2,2
0,2,0,1
0,2,0,2
0,2,1,1
0,2,1,2
0,2,2,1
76.47,2,2,2
NA,3,0,1
0,3,0,2
0,3,1,1
NA,3,1,2
0,3,2,1
0,3,2,2
0,4,0,2
NA,4,1,1
0,4,1,2
0,4,2,1
36.93,4,2,2
0,4,3,2
NA,5,0,2
NA,5,1,2
0,5,2,1
20.18,5,2,2
0,5,3,1
88.44,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
0,1,2,1
0,1,2,2
NA,2,0,1
NA,2,0,2
NA,2,1,1
0,2,1,2
0,2,2,1
0,2,2,2
0,2,3,1
0,3,0,2
134.97,3,1,2
0,3,2,1
0,3,2,2
NA,4,0,2
0,4,1,2
0,4,2,1
29.98,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
0,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
29.25,1,2,1
203.21,1,2,2
0,2,0,1
0,2,0,2
0,2,1,1
375.89,2,1,2
0,2,2,1
0,2,2,2
0,3,0,1
0,3,0,2
0,3,1,1
0,3,1,2
0,3,2,1
57.76,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
0,4,3,2
NA,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
0,1,2,1
0,1,2,2
0,2,0,2
0,2,1,2
0,2,2,1
73.43,2,2,2
0,3,0,2
0,3,1,2
0,3,2,1
0,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
21.93,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
NA,1,0,2
0,1,1,1
NA,1,1,2
0,1,2,1
0,1,2,2
0,2,0,2
0,2,1,2
0,2,2,1
38.01,2,2,2
NA,3,0,2
0,3,1,2
NA,3,2,1
42.66,3,2,2
0,4,0,2
0,4,1,2
0,4,2,1
45.38,4,2,2
NA,5,1,2
0,5,2,2
0,5,3,1
0,5,3,2
NA,1,0,2
NA,1,1,2
NA,1,2,2
0,2,0,2
0,2,1,2
94.18,2,2,2
0,3,0,2
0,3,1,2
NA,3,2,1
0,3,2,2
NA,4,0,2
NA,4,1,2
0,4,2,1
0,4,2,2
0,4,3,2
NA,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
0,1,1,1
0,1,1,2
36.41,1,2,1
0,1,2,2
0,2,0,1
NA,2,0,2
0,2,1,1
0,2,2,1
0,2,2,2
0,3,0,2
0,3,1,2
0,3,2,1
59,3,2,2
NA,4,0,2
0,4,1,2
0,4,2,1
45.64,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
NA,5,1,2
0,5,2,1
28.41,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
NA,1,0,2
0,1,1,2
242.66,1,2,1
0,1,2,2
0,2,0,2
0,2,1,1
0,2,1,2
74.79,2,2,1
0,2,2,2
0,3,0,2
NA,3,1,1
0,3,1,2
0,3,2,1
0,3,2,2
NA,4,0,2
0,4,1,2
75.59,4,2,1
14.14,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
0,5,1,2
0,5,2,1
22.9,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,2
187.59,1,2,1
0,1,2,2
NA,2,0,1
0,2,0,2
NA,2,1,1
0,2,1,2
0,2,2,1
46.45,2,2,2
0,3,0,2
0,3,1,1
0,3,1,2
0,3,2,1
0,3,2,2
144.25,4,0,2
NA,4,1,1
NA,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
NA,5,0,1
NA,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
52.12,1,1,1
0,1,2,1
NA,2,0,1
0,2,0,2
0,2,1,1
46.43,2,2,1
0,3,0,1
NA,3,1,1
0,3,2,1
0,3,2,2
0,3,3,1
NA,4,1,1
NA,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
0,5,2,1
0,5,2,2
0,5,3,1
